4000 0.001 0.001 1.797136147031823e-09 0.06308894200000026  -4.056467116 -4.05646613 -4.056463954 -3.993378174 -3.993375331 -3.993373947 -3.993370135
4000 0.001 0.001 1.8352336174459451e-09 0.06309421999999998  -4.056466852 -4.056465772 -4.056464615 -3.993372632 -3.993371216 -3.993369498 -3.993369063
4000 0.001 0.001 2.626856740880594e-09 0.06309439400000016  -4.056466365 -4.056465721 -4.056465066 -3.993371971 -3.993371126 -3.993367689 -3.993360456
4000 0.001 0.001 1.7043779995690069e-09 0.06309676499999961  -4.056467035 -4.056465783 -4.056464345 -3.99337027 -3.993368794 -3.993365164 -3.993363871
4000 0.001 0.001 1.9325423868318926e-09 0.06308894699999978  -4.056466382 -4.056465934 -4.05646493 -3.993377435 -3.993374714 -3.993372988 -3.993367101
4000 0.001 0.001 2.307136858420626e-09 0.063102255  -4.056466308 -4.05646586 -4.056464925 -3.993364053 -3.993362826 -3.993362367 -3.993361792
4000 0.001 0.001 2.0767342041123357e-09 0.0630920189999995  -4.05646669 -4.056466017 -4.056464558 -3.993374671 -3.993372709 -3.993369265 -3.993367156
4000 0.001 0.001 1.9401749902650597e-09 0.06309340399999952  -4.056467892 -4.056464828 -4.056464501 -3.993374488 -3.993369417 -3.993365832 -3.993365492
4000 0.001 0.001 1.6981965911287776e-09 0.06308827600000022  -4.056467321 -4.056465821 -4.056464109 -3.993379045 -3.993376223 -3.993373645 -3.993367093
4000 0.001 0.001 2.018094212729676e-09 0.0630809659999998  -4.056467603 -4.05646566 -4.056464157 -3.993386637 -3.993384991 -3.993377433 -3.993367609
4000 0.001 0.001 2.02065919640822e-09 0.06309952199999946  -4.056467097 -4.056466054 -4.056463862 -3.993367575 -3.993363138 -3.993361613 -3.993359272
4000 0.001 0.001 2.0546196893020814e-09 0.06309589499999957  -4.056466903 -4.056465673 -4.056464501 -3.993371008 -3.993369748 -3.993367514 -3.993361264
4000 0.001 0.001 2.2155877623249844e-09 0.06309252399999998  -4.056466598 -4.056465989 -4.056464672 -3.993374074 -3.993372159 -3.993369707 -3.993368292
4000 0.001 0.001 1.5308688786008477e-09 0.06308660400000043  -4.056467255 -4.056465756 -4.056464211 -3.993380651 -3.993378439 -3.993376186 -3.993374066
4000 0.001 0.001 2.188280228425865e-09 0.06308697699999977  -4.0564668 -4.056465663 -4.056464901 -3.993379823 -3.993375766 -3.993373807 -3.993371574
4000 0.001 0.001 1.9258455855195013e-09 0.06309920800000013  -4.056466868 -4.056465898 -4.056464352 -3.99336766 -3.99336497 -3.993364875 -3.993362951
4000 0.001 0.001 2.0983599656501176e-09 0.06309881900000036  -4.056467157 -4.056465729 -4.056464289 -3.993368338 -3.993366835 -3.993365672 -3.993362716
4000 0.001 0.001 1.9145294801247204e-09 0.06309017199999989  -4.056466778 -4.05646595 -4.05646468 -3.993376606 -3.993376029 -3.993371764 -3.99337033
4000 0.001 0.001 1.806298122926028e-09 0.06309981899999961  -4.056466369 -4.056465942 -4.056464751 -3.99336655 -3.993365702 -3.993365201 -3.993363625
4000 0.001 0.001 1.9505364672517457e-09 0.06309854599999998  -4.056466972 -4.056465919 -4.056464205 -3.993368426 -3.993366359 -3.993361592 -3.993360431
4000 0.001 0.001 1.9982578233114396e-09 0.06309352199999996  -4.05646795 -4.056465804 -4.056463393 -3.993374428 -3.993370992 -3.993368757 -3.993367396
4000 0.001 0.001 1.91368581231396e-09 0.06309062200000026  -4.056466643 -4.056465854 -4.056464748 -3.993376021 -3.993374112 -3.993370975 -3.993369474
4000 0.001 0.001 2.4906344823953862e-09 0.06309111699999992  -4.056467553 -4.05646543 -4.056464302 -3.993376436 -3.993376009 -3.993371974 -3.99336909
4000 0.001 0.001 2.3331248095757263e-09 0.0630955339999999  -4.056466887 -4.056465778 -4.056464512 -3.993371353 -3.99336729 -3.993365633 -3.993363375
4000 0.001 0.001 2.563331400800723e-09 0.06310326499999963  -4.056466347 -4.056465723 -4.056465009 -3.993363082 -3.993361337 -3.993360776 -3.993359571
4000 0.001 0.001 2.1925892779369254e-09 0.0630892679999997  -4.056466433 -4.056465583 -4.056465227 -3.993377165 -3.993374461 -3.993368792 -3.993367504
4000 0.001 0.001 2.9984284455502053e-09 0.06309974600000023  -4.05646657 -4.056465695 -4.056464902 -3.993366824 -3.993365989 -3.993365627 -3.993365164
4000 0.001 0.001 1.7521321713716003e-09 0.06309163299999954  -4.05646655 -4.056465815 -4.05646482 -3.993374917 -3.993370143 -3.993369746 -3.993363607
4000 0.001 0.001 2.1942455071926156e-09 0.06309892299999964  -4.056466239 -4.056465809 -4.056465089 -3.993367316 -3.993365571 -3.993364662 -3.993364176
4000 0.001 0.001 2.0664886733614416e-09 0.0630946769999996  -4.056467397 -4.05646576 -4.05646398 -3.99337272 -3.993370022 -3.993369246 -3.993366764
4000 0.03422222222222222 2.9220779220779218e-05 2.088331946918871e-09 0.0631045260000005  -4.056466654 -4.056465518 -4.056464876 -3.993362128 -3.993360878 -3.993358894 -3.993356268
4000 0.03422222222222222 2.9220779220779218e-05 2.4497471825574576e-09 0.0630921080000002  -4.056466653 -4.056466021 -4.056464478 -3.993374545 -3.993371794 -3.993368918 -3.993362464
4000 0.03422222222222222 2.9220779220779218e-05 1.8379970502282762e-09 0.06309721199999974  -4.056466681 -4.05646561 -4.056464841 -3.993369469 -3.993366411 -3.993365413 -3.993364086
4000 0.03422222222222222 2.9220779220779218e-05 1.9408909194130863e-09 0.06309782899999972  -4.056467013 -4.0564654 -4.056464751 -3.993369184 -3.993368067 -3.993367313 -3.993365232
4000 0.03422222222222222 2.9220779220779218e-05 2.3435767649115627e-09 0.06309823399999992  -4.0564668 -4.056465602 -4.056464738 -3.993368566 -3.993367832 -3.993366473 -3.993364992
4000 0.03422222222222222 2.9220779220779218e-05 2.370045297105493e-09 0.06309840300000058  -4.056467579 -4.056465147 -4.056464384 -3.993369176 -3.993366599 -3.993365062 -3.993361908
4000 0.03422222222222222 2.9220779220779218e-05 2.0802788108268324e-09 0.06309775099999992  -4.056466566 -4.056465805 -4.056464834 -3.993368815 -3.993367029 -3.993366239 -3.993365182
4000 0.03422222222222222 2.9220779220779218e-05 1.9600672683353725e-09 0.06310099700000027  -4.056466257 -4.056465676 -4.056465171 -3.99336526 -3.993362969 -3.993362351 -3.99336134
4000 0.03422222222222222 2.9220779220779218e-05 2.07714460505607e-09 0.06310099100000066  -4.056465926 -4.056465671 -4.056465517 -3.993364935 -3.993363639 -3.993360818 -3.993360123
4000 0.03422222222222222 2.9220779220779218e-05 2.231379043971363e-09 0.0630869900000004  -4.056466675 -4.056465682 -4.056465025 -3.993379685 -3.993376384 -3.993373732 -3.993370574
